id,lga_id,ward_name
7357,652,Ilogbo
7358,652,Lagbedu
7359,652,Ijeru II
7360,652,Ijeru I
7361,652,Isoko
7362,652,Oke-Ola/Farm Settlement
7363,648,Komu
7364,648,Babaode
7365,648,Igbojaiye
7366,648,Owode/Ipapo
7367,648,Oke-Amu
7368,648,Otu II
7369,648,Ipapo
7370,648,Otu I
7371,648,Okaka II
7372,648,Okaka I
7373,647,Ado-awaye
7374,647,Akinwumi/Osoogun
7375,647,Ekunle I
7376,647,Ekunle II
7377,647,Koso II
7378,647,Faramora
7379,647,Ijemba/Oke-Ola/Oke-Oja
7380,647,Koso I
7381,647,Isalu II
7382,647,Ladogan/Oke Eyin
7383,647,Isalu I
7384,645,Ogundele/Alaho/Siba/Idi-Ahun
7385,645,Aba Emo/Ilaju/Alako
7386,645,Batake/Idi-Iya
7387,645,Akinware/Akindele
7388,645,Akufo/Idigba/Araromi
7389,645,Erinwusi/Koguo/Odetola
7390,645,Omi Adio/Omi Onigbagbo Bakatari
7391,645,Fenwa/Oganla/Elenusonso
7392,645,Apete/Ayegun/Awotan
7393,645,Ido/Onikede/Okuna Awo
7394,644,Ofiki II
7395,644,Igangan III
7396,644,Igangan I
7397,644,Igangan IV
7398,644,Igangan II
7399,644,Ofiki I
7400,644,Ayete I
7401,644,Ayete II
7402,644,Tapa II
7403,644,Tapa I
7404,643,Oke -Oba
7405,643,Isale Togun
7406,643,Itabo
7407,643,Oke Otun
7408,643,Oke-Imale
7409,643,Anko
7410,643,New Eruwa
7411,643,Sango
7412,643,Aborerin
7413,643,Isaba
7414,642,Idofin Isaganun
7415,642,Iberekodo I /(Pataoju)
7416,642,Igbole/Pako
7417,642,Iberekodo/Agbooro/Ita Baale
7418,642,Okeserin I & II
7419,642,Idere III (Koso/Apa)
7420,642,Idere II (Ominigbo/Oke - Oba)
7421,642,Oke-Odo
7422,642,Idere I (Molete)
7423,642,Isale-Oba
7424,634,Aremo
7425,634,Bashorun
7426,634,Agunpopo III
7427,634,Oke-afin I
7428,634,Oke-afin II
7429,634,Ashipa I
7430,634,Agunpopo II
7431,634,Agunpopo I
7432,634,Ashipa II
7433,634,Ashipa III
7434,663,Aganmu/Kooko
7435,663,Ekokan / Imua
7436,663,Okere II
7437,663,Sangote/Booda/Baabo/Ilua
7438,663,Okere I
7439,663,Iya
7440,663,Sepeteri/Bapon
7441,663,Oke-Oro
7442,663,Ajegunle
7443,663,Bagii
7444,663,Ogidigbo/Kinnikinni
7445,636,Ayede/Alugbo/Koloko
7446,636,Osegere/Awaye
7447,636,Erunmu
7448,636,Owobaale/Kasumu
7449,636,Egbeda
7450,636,Olodan/Ajinogbo
7451,636,Olodo/Kumapayi I
7452,636,Olubadan Estate
7453,636,Olodo II
7454,636,Olodo III
7455,636,Olode/Alakia
7456,660,Akeetan
7457,660,Isokun I
7458,660,Owode
7459,660,Iseke
7460,660,Fasola/Soku
7461,660,Ajokidero/Akewugberu
7462,660,Isokun II
7463,660,Iyaji
7464,660,Opapa
7465,660,Pakoyi/Idode
7466,635,Alaga
7467,635,Ofiki
7468,635,Baasi
7469,635,Tede I
7470,635,Tede II
7471,635,Ago Are II
7472,635,Owo/Agunrege/Sabe
7473,635,Ago Are I
7474,635,Irawo Owode
7475,635,Irawo Ile
7476,639,Ward 11 NW7
7477,639,Ward 10 NW7
7478,639,Ward 9 NW6
7479,639,Ward 7 NW4
7480,639,Ward 8 NW5
7481,639,Ward 4 NW2
7482,639,Ward 3 NW1
7483,639,Ward I NI (Part I)
7484,639,Ward 2 NI (Part II)
7485,639,Ward 5 NW3 (Part I)
7486,639,Ward 6 NW3 (Part I)
7487,638,Ward IV E4
7488,638,Ward III E3
7489,638,Ward 2 NI (Part II)
7490,638,Ward V E5A
7491,638,Ward I EI
7492,638,Ward VI E5B
7493,638,Ward VII E6
7494,638,Ward X E8
7495,638,Ward VIII E7 I
7496,638,Ward IX E7II
7497,638,Ward XII E9 II
7498,640,Ward XI  E9 I
7499,640,S 7B
7500,640,S 7A
7501,640,S 1
7502,640,C1
7503,640,S 2A
7504,640,S 2B
7505,640,S 3
7506,640,S 6A
7507,640,S 4A
7508,640,S 4B
7509,640,S 6B
7510,640,S S5
7511,641,Ward 12 SW9 II
7512,641,Ward 11 SW9(1)
7513,641,Ward 9 SW8 (1)
7514,641,Ward 10 SW8 II
7515,641,Ward 08 SW7
7516,641,Ward 7 SW6
7517,641,Ward 6 SW5
7518,641,Ward 5 SW4
7519,641,Ward 4 SW3A & 3B
7520,641,Ward 1 C2
7521,641,Ward 3 SW2
7522,641,Ward 2 SW1
7523,637,Ward XI NW8
7524,637,Ward XII NW8
7525,637,Ward V N5B
7526,637,Ward VIII N6A PART III
7527,637,Ward VII N6A PART II
7528,637,Ward X N6B PART II
7529,637,Ward VI N6A PART I
7530,637,Ward IX (N6B PART I)
7531,637,Ward II N3
7532,637,Ward III N4
7533,637,Ward IV N5A
7534,637,Ward I N2
7535,661,Alaodi/Modeke
7536,661,Apaara
7537,661,Balogun
7538,661,Jabata
7539,661,Owode/Araromi
7540,661,Oluajo
7541,661,Apinni
7542,661,Oke Apo
7543,661,Ajagba
7544,661,Agboye/Molete
7545,666,Kurra Falls
7546,666,Gindin Akwati
7547,666,Marit/Mazat
7548,666,Gassa/Sho
7549,666,Barakin Ladi
7550,666,Lobiring
7551,666,Heipang
7552,666,Zabot
7553,666,Kapwis
7554,666,Rafan
7555,666,Tafan
7556,667,Kimakpa
7557,667,Gabia
7558,667,Ta'agbe
7559,667,Zobwo
7560,667,Tahu
7561,667,Kakkek
7562,667,Buhit
7563,667,Kishika
7564,667,Mafara
7565,667,Kasuru
7566,667,Gurum
7567,667,Buji
7568,667,Kadamo
7569,667,Rimi
7570,667,Jengre
7571,667,Zabolo
7572,665,Sha
7573,665,Manguna
7574,665,Daffo
7575,665,Damwai
7576,665,Toff
7577,665,Richa
7578,665,Mbar/Mangar
7579,665,Bokkos
7580,665,Tangur
7581,665,Mushere West
7582,665,Mushere Central
7583,665,Mangor
7584,665,Butura
7585,665,Kwatas
7586,668,Shere West
7587,668,Fobur 'B'
7588,668,Shere East
7589,668,Jarawan Kogi
7590,668,Mai Gemu
7591,668,Fobur 'A'
7592,668,Fursum
7593,668,Maijuju
7594,668,Federe
7595,668,Zandi
7596,669,Naraguta 'B'
7597,669,Jos Jarawa
7598,669,Jenta Apata
7599,669,Ali Kazaure
7600,669,Tudun Wada - Kabong
7601,669,Jenta Adamu
